MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,AP_DIFF,SEMIMINOR_AXIS,ORBITAL_VELOCITY,TARGET,RCS_SIZE_MEDIUM,RCS_SIZE_SMALL
2.9324819,0.6792639,7.5329,331.7217,276.6115,16.0814,18938,0.0024578,0.00017938,0.0,20617.925,491.052,28244.802,234.778,28010.024,15131.37356992462,4.396898194559092,0,0,0
13.90919929,0.003277,64.9639,64.0625,73.9769,6.9515,42266,8.4558e-05,1.6e-07,0.0,7303.546,103.529,949.344,901.477,47.86700000000008,7303.506784494102,7.387576708703872,1,0,1
2.0489572,0.5339131,73.0241,311.0354,272.6759,30.2494,17980,0.0,-4.09e-06,0.0,26184.639,702.797,33786.825,5826.182,27960.643,22140.14278327101,3.901625602797904,1,1,0
3.89999278,0.5776748,63.2797,265.8172,15.3189,356.5806,41446,-0.0020638,-9e-07,0.0,17048.754,369.231,20519.254,821.983,19697.271,13916.335387377942,4.835290438631144,1,0,1
2.77059821,0.6452302,8.7658,221.5081,199.2925,324.53,23713,0.0,-8.9e-07,0.0,21413.425,519.743,28851.879,1218.702,27633.177,16359.604291621425,4.314453767018797,1,1,0
0.98524915,0.0006744,2.2675,89.2334,154.3701,166.7938,7350,0.0,4.8e-07,0.0,42661.664,1461.559,36312.3,36254.758,57.54200000000128,42661.65429840886,3.056680119972234,0,0,0
14.30754896,0.0005427,67.0014,238.1694,224.9334,135.1328,4910,2.9962e-05,-5e-08,0.0,7167.346,100.646,793.1,785.321,7.778999999999996,7167.34494452476,7.45743888109008,0,1,0
14.30640166,0.0005717,67.0504,288.7761,275.3764,84.6685,4868,4.6654e-05,3.9e-07,0.0,7167.729,100.654,793.692,785.496,8.196000000000026,7167.727828646442,7.457239638258287,0,1,0
14.30373177,0.0003973,67.0552,294.2008,271.2647,88.7999,4866,3.8656e-05,1.8e-07,0.0,7168.621,100.673,793.334,787.638,5.695999999999913,7168.620434226278,7.456775667245254,0,1,0
0.97744793,0.0015183,13.0654,26.3584,156.8746,206.3104,7206,0.0,-1.02e-06,0.0,42888.358,1473.224,36575.341,36445.106,130.23500000000058,42888.30856610189,3.048591105192844,0,0,0
1.00208942,0.0027748,12.5895,24.1977,353.6175,22.775,7379,0.0,-4.6e-07,0.0,42182.358,1436.998,35921.271,35687.176,234.0950000000012,42182.19560783749,3.073997155267626,0,0,0
15.1229564,0.0036973,97.7917,79.5931,315.6095,44.2196,9974,0.00012223,2.078e-05,0.0,6907.338,95.219,554.741,503.664,51.077,6907.290788089172,7.596499854080181,0,0,0
14.95808699,0.0073051,97.7874,260.713,26.744,333.7535,9034,7.514e-05,8.21e-06,0.0,6958.001,96.269,630.695,529.037,101.65800000000002,6957.815342449577,7.568793289853109,0,1,0
15.39951359,0.0009045,97.7823,16.701,108.6576,251.5652,41792,0.0001969,7.761e-05,0.0,6824.39,93.509,452.428,440.082,12.346000000000004,6824.387208413603,7.642526774798385,0,1,0
15.09044486,0.0054562,97.8254,312.962,136.0791,224.4793,9477,0.00011361,1.79e-05,0.0,6917.255,95.425,576.862,501.378,75.48399999999998,6917.152035483363,7.591052497472781,0,0,0
13.48391718,0.0053526,100.3465,127.0163,302.9242,69.8008,99944,0.0014431,8.55e-06,0.0,7456.319,106.794,1118.094,1038.273,79.82100000000014,7456.212186247044,7.311502753566195,1,0,1
2.02609165,0.6878664,64.3371,141.2708,38.0227,354.7498,54314,0.0,1.7e-06,0.0,26381.275,710.728,38149.933,1856.347,36293.586,19148.51395592744,3.887057788898339,1,1,0
